gene,dbeta,feature,ID,cluster
ALDH1A3,0.391162,TSS1500,cg17797372,3
APOC3,0.342646,TSS200,cg18170454,2
ATL3,0.314069,TSS200,cg02761940,1
BEST4,-0.335315,TSS1500,cg04162691,3
BMPER,0.386811,TSS1500,cg24236887,4
BRD3,0.36455,TSS1500,cg13648682,4
BTRC,0.311106,TSS200,cg00363811,2
C1orf212,0.342928,TSS1500,cg19275040,1
CCDC19,-0.315502,TSS200,cg02849695,2
CCDC3,-0.328017,TSS200,cg15167008,4
COLEC12,0.474123,TSS200,cg16943083,1
COMMD1,0.326596,TSS200,cg15013768,2
CYB5B,0.453749,TSS200,cg03491503,1
DDX49,0.360343,TSS1500,cg17816495,2
DNAJC30,0.327888,TSS1500,cg23834064,2
DPYSL5,0.34277,TSS200,cg10713073,2
DTNBP1,0.350726,TSS200,cg07172036,1
EDC4,-0.384682,TSS200,cg03304078,2
EFCAB4B,0.323078,TSS200,cg26955987,1
FAM163A,0.351253,TSS200,cg27297088,1
FASTK,0.393079,TSS1500,cg27608032,2
FBRSL1,0.311768,TSS1500,cg18450555,4
FCRL2,0.334154,TSS1500,cg04559323,1
FZD1,0.331786,TSS1500,cg25027689,1
GRIN2A,0.388022,TSS1500,cg08621611,1
GSTM4,0.394876,TSS200,cg01564068,2
HIST1H1C,-0.333138,TSS200,cg04290376,4
HOOK2,0.315101,TSS200,cg27347727,2
IGF1R,0.353739,TSS1500,cg17375167,1
IGSF21,-0.343484,TSS1500,cg07091548,4
IRF2,0.324172,TSS200,cg15105154,4
IRF2BP1,0.316895,TSS200,cg27137978,2
ITGB1,-0.339977,TSS1500,cg12812502,1
JMJD4,0.333377,TSS1500,cg09796739,4
KCNG3,-0.318274,TSS1500,cg13787029,1
KCNQ1DN,0.396702,TSS1500,cg26457809,3
KHDRBS3,0.409018,TSS200,cg27186774,4
KIAA1804,0.320403,TSS1500,cg04126810,2
KIF1B,0.323219,TSS200,cg22822919,1
MCOLN2,0.349904,TSS200,cg11262906,1
MED9,-0.318216,TSS1500,cg11903177,2
MIR488,0.3281,TSS1500,cg09024791,4
MIR543,0.31074,TSS1500,cg18875631,4
MRPS33,0.316335,TSS200,cg26792755,3
MTR,0.391253,TSS1500,cg13968398,2
MX1,0.419169,TSS1500,cg03215005,1
MYADM,0.435507,TSS1500,cg17382541,3
MYBBP1A,0.356264,TSS200,cg01808912,4
NCOA3,0.431535,TSS200,cg18295930,2
NEGR1,0.354231,TSS1500,cg04985396,1
NEU2,0.356845,TSS200,cg01442781,3
NEURL,0.414236,TSS200,cg03337393,1
NKD2,-0.342456,TSS1500,cg22178761,1
NKX2-2,0.339885,TSS200,cg06178563,4
NKX6-1,0.358422,TSS200,cg15897645,4
NLRP3,0.384243,TSS1500,cg03466998,2
NRG3,0.488513,TSS1500,cg10401879,1
NUDT17,0.394464,TSS1500,cg15521792,3
OAZ1,0.369354,TSS200,cg18838581,2
OR2L8,0.340644,TSS200,cg15087740,1
OS9,0.382755,TSS1500,cg27036185,2
PCDH20,0.391283,TSS200,cg12721730,1
PDCD10,0.319035,TSS1500,cg18128147,1
PIK3C3,0.347419,TSS200,cg12548782,1
PKLR,0.367453,TSS1500,cg00764632,2
PLA2G2E,0.319637,TSS200,cg01441698,3
PLA2G7,0.340599,TSS200,cg08383338,3
POLR2H,-0.335222,TSS200,cg16625000,4
POU2F3,0.369343,TSS1500,cg20663364,4
POU3F1,0.313696,TSS200,cg03753481,4
POU3F2,0.345,TSS1500,cg24942226,4
PPIA,0.491135,TSS200,cg23495556,2
PRCC,0.398563,TSS1500,cg13235992,2
PRKAB2,0.323822,TSS1500,cg05162137,2
PRKCDBP,0.385478,TSS200,cg05628549,2
PRMT10,0.343499,TSS200,cg00360468,3
PSMA5,0.399358,TSS200,cg17451471,2
PSMD12,0.363049,TSS200,cg18147309,2
PTAFR,0.44277,TSS1500,cg04724866,1
PTCHD2,0.380275,TSS200,cg15658487,3
PTPRG,0.427664,TSS200,cg09472360,1
PTPRN,0.326904,TSS200,cg01382864,1
PUF60,0.323109,TSS1500,cg09859794,4
PUSL1,0.325607,TSS1500,cg00262415,4
RAB11FIP1,0.361705,TSS200,cg05472579,2
RAB43,0.400326,TSS1500,cg05985447,2
RANBP3,0.313912,TSS200,cg00136192,2
RBM23,0.432562,TSS1500,cg07971674,4
RBM42,0.311856,TSS200,cg15636057,4
RCE1,0.43569,TSS200,cg25954729,3
RCOR2,0.395443,TSS1500,cg27470027,2
RET,0.343235,TSS200,cg08275306,1
RHBDL1,0.379263,TSS1500,cg07847424,1
RING1,0.373891,TSS1500,cg11011640,2
RIPPLY2,0.39457,TSS200,cg16528511,2
RNF186,0.353182,TSS200,cg05393025,2
RNH1,0.42788,TSS200,cg24778081,1
RPL10L,0.33214,TSS200,cg23370328,3
SCYL2,0.331097,TSS200,cg04924415,2
SEC24B,0.311724,TSS200,cg22818604,2
SELI,0.318631,TSS200,cg09392819,3
SENP2,0.315918,TSS1500,cg07121640,2
SEPHS1,0.40841,TSS1500,cg23097415,1
SETD1B,0.357266,TSS200,cg10605791,3
SETD2,0.337317,TSS200,cg05971911,3
SFRP1,0.344424,TSS200,cg01495122,1
SFRS4,0.313776,TSS200,cg05032943,4
SFXN1,0.328316,TSS200,cg07590632,2
SIM2,0.351684,TSS1500,cg26938272,4
SLC10A4,0.364592,TSS200,cg05021846,1
SLC12A7,0.399652,TSS200,cg06748231,1
SLC30A3,0.345806,TSS200,cg23151303,1
SLC39A7,0.385847,TSS1500,cg06276429,2
SLFN11,0.342219,TSS200,cg26573518,2
SLTM,0.37351,TSS200,cg10579128,4
SMG6,0.344111,TSS1500,cg27025247,4
SRD5A2,0.4031,TSS1500,cg11765362,3
SRP68,0.315602,TSS1500,cg04151306,4
ST3GAL3,0.328138,TSS1500,cg08142848,2
STIM1,-0.326417,TSS200,cg24035379,1
STK10,0.406355,TSS200,cg19108432,1
STK39,0.33629,TSS1500,cg19282745,2
SUPT4H1,0.430729,TSS1500,cg09033857,2
TACR1,0.342118,TSS200,cg23210365,1
TBCCD1,0.417293,TSS200,cg14506751,2
TBRG4,0.364315,TSS200,cg03142634,4
TBXAS1,0.332685,TSS200,cg03047724,3
TCEA1,0.448324,TSS200,cg11530293,2
TCEA2,0.328767,TSS200,cg12176783,2
TCF7,0.321738,TSS1500,cg24093411,4
TCTN3,0.314979,TSS200,cg19340278,2
THBS1,0.437559,TSS200,cg09291834,2
THOC7,0.335469,TSS1500,cg22209752,4
TMBIM6,0.321407,TSS200,cg20339296,1
TMEM108,0.314938,TSS200,cg18115215,3
TMEM159,0.350167,TSS200,cg00285026,2
TMEM214,0.362763,TSS200,cg20313392,4
TMEM97,0.329385,TSS1500,cg19026207,1
TNKS2,0.347165,TSS200,cg13781829,2
TP53AIP1,0.402593,TSS200,cg22837015,3
TPPP3,0.324592,TSS200,cg08074621,2
TRNP1,0.316463,TSS1500,cg12396969,4
TRPM5,-0.373641,TSS1500,cg26103489,1
TSTD1,0.321754,TSS1500,cg07967677,4
UEVLD,0.445659,TSS200,cg26410557,3
WDR55,-0.335496,TSS200,cg26395211,3
WDR81,0.3111,TSS200,cg07671620,2
ZFAND3,0.333692,TSS200,cg01009358,1
ZNF131,0.389198,TSS1500,cg22042060,4
