gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO
ACCN1,cg24613080,0.429284,TSS1500,cg24613080,0.248488,TSS1500
ADAMTS20,cg19619405,0.429137,TSS200,cg21980043,0.268925,TSS200
ADCY4,cg12265829,0.317329,TSS200,cg05031016,0.216709,TSS1500
AIP,cg21052656,-0.362476,TSS1500,cg21052656,-0.215671,TSS1500
ALX1,cg25800765,0.384544,TSS1500,cg25800765,0.295556,TSS1500
ALX4,cg08149193,0.405723,TSS1500,cg16065899,0.28051,TSS1500
ATG16L1,cg23339656,-0.322485,TSS1500,cg23339656,-0.221358,TSS1500
ATP5G2,cg08995424,0.293562,TSS1500,cg13477804,0.221297,TSS1500
C1orf114,cg08047907,0.403691,TSS200,cg23818870,0.233423,TSS200
CA3,cg18674980,0.407801,TSS1500,cg07560510,0.262316,TSS1500
CCDC8,cg03576469,0.326066,TSS200,cg03576469,0.224894,TSS200
CDO1,cg11036833,0.383028,TSS200,cg21377673,0.247824,TSS1500
CFTR,cg17204129,0.368248,TSS1500,cg17204129,0.244257,TSS1500
CMTM2,cg08032924,0.404335,TSS1500,cg08032924,0.283936,TSS1500
CSDAP1,cg15811515,0.559024,TSS200,cg15811515,0.266506,TSS200
DBC1,cg03625109,0.304307,TSS1500,cg03625109,0.252499,TSS1500
DEGS1,cg12279138,-0.29354,TSS1500,cg23213217,-0.237917,TSS1500
DGKI,cg06277657,0.320952,TSS1500,cg06277657,0.241219,TSS1500
DNASE2,cg15503081,-0.337019,TSS1500,cg15503081,-0.227324,TSS1500
DOC2A,cg03890691,0.315236,TSS1500,cg03890691,0.238541,TSS1500
DRD5,cg23847712,0.350885,TSS200,cg23847712,0.215878,TSS200
EMID2,cg23424003,0.332589,TSS200,cg27528510,0.271503,TSS200
EOMES,cg15540820,0.414821,TSS1500,cg15540820,0.377772,TSS1500
ESRRG,cg21784383,0.380634,TSS200,cg25755575,0.252804,TSS1500
EXOC1,cg18463607,-0.320539,TSS1500,cg18463607,-0.224821,TSS1500
FLJ43860,cg04744713,-0.345278,TSS200,cg02122540,-0.213328,TSS1500
FOXB2,cg12626956,0.366964,TSS200,cg13369611,0.243259,TSS200
FOXD2,cg22438763,0.427332,TSS1500,cg09269866,0.255169,TSS1500
FRZB,cg04037038,0.343875,TSS1500,cg04037038,0.221963,TSS1500
GATAD2B,cg08202226,-0.414724,TSS1500,cg08202226,-0.299916,TSS1500
GDNF,cg04209913,0.42969,TSS1500,cg15368455,0.228829,TSS1500
GFRA2,cg03330485,0.298793,TSS1500,cg03330485,0.210921,TSS1500
