ID	Gene Name	Species	BBID	BIOCARTA	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_DISEASE	UP_KW_DOMAIN	UP_KW_LIGAND	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
GBE1	1,4-alpha-glucan branching enzyme 1(GBE1)	Homo sapiens			GO:0005975~carbohydrate metabolic process,GO:0005977~glycogen metabolic process,GO:0005978~glycogen biosynthetic process,GO:0006091~generation of precursor metabolites and energy,GO:0043524~negative regulation of neuron apoptotic process,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0003844~1,4-alpha-glucan branching enzyme activity,GO:0004553~hydrolase activity, hydrolyzing O-glycosyl compounds,GO:0005515~protein binding,GO:0030246~carbohydrate binding,GO:0043169~cation binding,	IPR004193:Glycoside hydrolase, family 13, N-terminal,IPR006047:Glycosyl hydrolase, family 13, catalytic domain,IPR006048:Alpha-amylase, C-terminal all beta,IPR013780:Glycosyl hydrolase, family 13, all-beta,IPR013783:Immunoglobulin-like fold,IPR014756:Immunoglobulin E-set,IPR017853:Glycoside hydrolase, superfamily,	hsa00500:Starch and sucrose metabolism,hsa01100:Metabolic pathways,	232500~Glycogen storage disease IV,263570~Polyglucosan body disease, adult form,	PIRSF000463:1,4-alpha-glucan branching enzyme,	SM00642:Aamy,	KW-0320~Glycogen biosynthesis,		KW-0225~Disease variant,KW-0322~Glycogen storage disease,KW-0622~Neuropathy,			KW-0328~Glycosyltransferase,KW-0808~Transferase,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	ACT_SITE:Nucleophile,ACT_SITE:Proton donor,DOMAIN:Glycosyl hydrolase family 13 catalytic,
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)(ACCS)	Homo sapiens			GO:0006520~cellular amino acid metabolic process,GO:0009058~biosynthetic process,		GO:0003824~catalytic activity,GO:0005515~protein binding,GO:0008483~transaminase activity,GO:0030170~pyridoxal phosphate binding,GO:0042802~identical protein binding,	IPR004839:Aminotransferase, class I/classII,IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1,IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2,IPR015424:Pyridoxal phosphate-dependent transferase,									KW-0663~Pyridoxal phosphate,			DOMAIN:Aminotransferase class I/classII,REGION:Disordered,
HPD	4-hydroxyphenylpyruvate dioxygenase(HPD)	Homo sapiens			GO:0006559~L-phenylalanine catabolic process,GO:0006572~tyrosine catabolic process,	GO:0000139~Golgi membrane,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0003868~4-hydroxyphenylpyruvate dioxygenase activity,GO:0042803~protein homodimerization activity,GO:0046872~metal ion binding,	IPR004360:Glyoxalase/fosfomycin resistance/dioxygenase domain,IPR005956:4-hydroxyphenylpyruvate dioxygenase,	hsa00130:Ubiquinone and other terpenoid-quinone biosynthesis,hsa00350:Tyrosine metabolism,hsa00360:Phenylalanine metabolism,hsa01100:Metabolic pathways,hsa01240:Biosynthesis of cofactors,	140350~Hawkinsinuria,276710~Tyrosinemia, type III,	PIRSF009283:4-hydroxyphenylpyruvate dioxygenase,		KW-0585~Phenylalanine catabolism,KW-0828~Tyrosine catabolism,	KW-0256~Endoplasmic reticulum,KW-0333~Golgi apparatus,KW-0472~Membrane,KW-0963~Cytoplasm,	KW-0225~Disease variant,KW-0991~Intellectual disability,	KW-0677~Repeat,	KW-0408~Iron,KW-0479~Metal-binding,	KW-0223~Dioxygenase,KW-0560~Oxidoreductase,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	DOMAIN:VOC,DOMAIN:VOC 1,DOMAIN:VOC 2,
NT5E	5'-nucleotidase ecto(NT5E)	Homo sapiens			GO:0006196~AMP catabolic process,GO:0006259~DNA metabolic process,GO:0007159~leukocyte cell-cell adhesion,GO:0009166~nucleotide catabolic process,GO:0010035~response to inorganic substance,GO:0033198~response to ATP,GO:0046032~ADP catabolic process,GO:0046034~ATP metabolic process,GO:0046086~adenosine biosynthetic process,GO:0050728~negative regulation of inflammatory response,GO:0055074~calcium ion homeostasis,	GO:0005654~nucleoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0031225~anchored component of membrane,GO:0070062~extracellular exosome,	GO:0000166~nucleotide binding,GO:0002953~5'-deoxynucleotidase activity,GO:0005515~protein binding,GO:0008253~5'-nucleotidase activity,GO:0008270~zinc ion binding,GO:0016787~hydrolase activity,GO:0042802~identical protein binding,GO:0046872~metal ion binding,GO:0050340~thymidylate 5'-phosphatase activity,GO:0050483~IMP 5'-nucleotidase activity,GO:0050484~GMP 5'-nucleotidase activity,	IPR004843:Metallophosphoesterase domain,IPR006146:5'-Nucleotidase, conserved site,IPR006179:5'-Nucleotidase/apyrase,IPR008334:5'-Nucleotidase, C-terminal,	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,hsa01232:Nucleotide metabolism,	211800~Calcification of joints and arteries,				KW-0472~Membrane,KW-1003~Cell membrane,	KW-0225~Disease variant,	KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,	KW-0479~Metal-binding,KW-0547~Nucleotide-binding,KW-0862~Zinc,	KW-0378~Hydrolase,	KW-0325~Glycoprotein,KW-0336~GPI-anchor,KW-0449~Lipoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:5'-Nucleotidase C-terminal,DOMAIN:Calcineurin-like phosphoesterase,LIPID:GPI-anchor amidated serine,PROPEP:Removed in mature form,SITE:Transition state stabilizer,TRANSMEM:Helical,
NT5C1A	5'-nucleotidase, cytosolic IA(NT5C1A)	Homo sapiens			GO:0000255~allantoin metabolic process,GO:0006196~AMP catabolic process,GO:0006204~IMP catabolic process,GO:0009116~nucleoside metabolic process,GO:0046055~dGMP catabolic process,GO:0046059~dAMP catabolic process,GO:0046085~adenosine metabolic process,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0000166~nucleotide binding,GO:0000287~magnesium ion binding,GO:0005515~protein binding,GO:0008253~5'-nucleotidase activity,GO:0050483~IMP 5'-nucleotidase activity,	IPR010394:5-nucleotidase,	hsa00230:Purine metabolism,hsa00240:Pyrimidine metabolism,hsa00760:Nicotinate and nicotinamide metabolism,hsa01100:Metabolic pathways,hsa01232:Nucleotide metabolism,				KW-0546~Nucleotide metabolism,	KW-0963~Cytoplasm,			KW-0460~Magnesium,KW-0547~Nucleotide-binding,	KW-0378~Hydrolase,		ACT_SITE:Nucleophile,REGION:Disordered,
HTR1A	5-hydroxytryptamine receptor 1A(HTR1A)	Homo sapiens			GO:0001662~behavioral fear response,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007198~adenylate cyclase-inhibiting serotonin receptor signaling pathway,GO:0007210~serotonin receptor signaling pathway,GO:0007214~gamma-aminobutyric acid signaling pathway,GO:0007268~chemical synaptic transmission,GO:0008284~positive regulation of cell proliferation,GO:0014062~regulation of serotonin secretion,GO:0019229~regulation of vasoconstriction,GO:0035640~exploration behavior,GO:0042053~regulation of dopamine metabolic process,GO:0042428~serotonin metabolic process,GO:0046883~regulation of hormone secretion,GO:0050795~regulation of behavior,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0030425~dendrite,GO:0045202~synapse,	GO:0004993~G-protein coupled serotonin receptor activity,GO:0005515~protein binding,GO:0030594~neurotransmitter receptor activity,GO:0051378~serotonin binding,GO:0090722~receptor-receptor interaction,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR000610:5-Hydroxytryptamine 1A receptor,IPR002231:5-Hydroxytryptamine receptor family,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04024:cAMP signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04726:Serotonergic synapse,hsa04742:Taste transduction,	614674~Periodic fever, menstrual cycle dependent,		SM01381:SM01381,	KW-0085~Behavior,	KW-0472~Membrane,KW-0966~Cell projection,KW-1003~Cell membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:G-protein coupled receptors family 1 profile,MOTIF:DRY motif; important for ligand-induced conformation changes,MOTIF:NPxxY motif; important for ligand-induced conformation changes and signaling,REGION:Disordered,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
HTR1B	5-hydroxytryptamine receptor 1B(HTR1B)	Homo sapiens			GO:0002031~G-protein coupled receptor internalization,GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007193~adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,GO:0007198~adenylate cyclase-inhibiting serotonin receptor signaling pathway,GO:0007205~protein kinase C-activating G-protein coupled receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0007610~behavior,GO:0014053~negative regulation of gamma-aminobutyric acid secretion,GO:0014059~regulation of dopamine secretion,GO:0014063~negative regulation of serotonin secretion,GO:0032229~negative regulation of synaptic transmission, GABAergic,GO:0042220~response to cocaine,GO:0042310~vasoconstriction,GO:0042756~drinking behavior,GO:0045471~response to ethanol,GO:0046849~bone remodeling,GO:0050795~regulation of behavior,GO:0051385~response to mineralocorticoid,GO:0051967~negative regulation of synaptic transmission, glutamatergic,GO:0071312~cellular response to alkaloid,GO:0071466~cellular response to xenobiotic stimulus,GO:0071502~cellular response to temperature stimulus,GO:0099509~regulation of presynaptic cytosolic calcium ion concentration,GO:1904707~positive regulation of vascular smooth muscle cell proliferation,GO:2000300~regulation of synaptic vesicle exocytosis,	GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0030425~dendrite,GO:0042734~presynaptic membrane,GO:0044305~calyx of Held,GO:0045202~synapse,GO:0098666~G-protein coupled serotonin receptor complex,GO:0099056~integral component of presynaptic membrane,	GO:0004993~G-protein coupled serotonin receptor activity,GO:0005515~protein binding,GO:0030594~neurotransmitter receptor activity,GO:0051378~serotonin binding,GO:0099626~voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR002147:5-Hydroxytryptamine 1B receptor,IPR002231:5-Hydroxytryptamine receptor family,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04024:cAMP signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04726:Serotonergic synapse,hsa04742:Taste transduction,			SM01381:SM01381,	KW-0085~Behavior,	KW-0472~Membrane,KW-1003~Cell membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,	KW-0325~Glycoprotein,KW-0449~Lipoprotein,KW-0564~Palmitate,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:G-protein coupled receptors family 1 profile,LIPID:S-palmitoyl cysteine,MOTIF:DRY motif; important for ligand-induced conformation changes and signaling,MOTIF:NPxxY motif; important for ligand-induced conformation changes and signaling,MUTAGEN:A->S: No effect on agonist binding.,MUTAGEN:C->A: Abolishes agonist binding.,MUTAGEN:D->A: Abolishes agonist binding.,MUTAGEN:D->A: No effect on agonist binding.,MUTAGEN:F->A: Abolishes agonist binding.,MUTAGEN:F->A: No effect on agonist binding.,MUTAGEN:I->A: Abolishes agonist binding.,MUTAGEN:L->A: No effect on agonist binding.,MUTAGEN:M->A: No effect on agonist binding.,MUTAGEN:S->A: No effect on agonist binding.,MUTAGEN:T->A: No effect on agonist binding.,MUTAGEN:T->A: Slightly decreases agonist binding.,MUTAGEN:V->A: No effect on agonist binding.,MUTAGEN:W->A: Abolishes agonist binding.,MUTAGEN:Y->A: No effect on agonist binding.,REGION:Disordered,SITE:Important for species-specific agonist sensitivity,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
HTR2A	5-hydroxytryptamine receptor 2A(HTR2A)	Homo sapiens			GO:0001659~temperature homeostasis,GO:0006096~glycolytic process,GO:0006874~cellular calcium ion homeostasis,GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007200~phospholipase C-activating G-protein coupled receptor signaling pathway,GO:0007202~activation of phospholipase C activity,GO:0007204~positive regulation of cytosolic calcium ion concentration,GO:0007208~phospholipase C-activating serotonin receptor signaling pathway,GO:0007210~serotonin receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0007568~aging,GO:0007613~memory,GO:0008219~cell death,GO:0008284~positive regulation of cell proliferation,GO:0009410~response to xenobiotic stimulus,GO:0010513~positive regulation of phosphatidylinositol biosynthetic process,GO:0014059~regulation of dopamine secretion,GO:0014065~phosphatidylinositol 3-kinase signaling,GO:0014824~artery smooth muscle contraction,GO:0014832~urinary bladder smooth muscle contraction,GO:0030431~sleep,GO:0043267~negative regulation of potassium ion transport,GO:0043406~positive regulation of MAP kinase activity,GO:0043491~protein kinase B signaling,GO:0043525~positive regulation of neuron apoptotic process,GO:0044380~protein localization to cytoskeleton,GO:0045600~positive regulation of fat cell differentiation,GO:0045821~positive regulation of glycolytic process,GO:0045907~positive regulation of vasoconstriction,GO:0046718~viral entry into host cell,GO:0048148~behavioral response to cocaine,GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation,GO:0050965~detection of temperature stimulus involved in sensory perception of pain,GO:0050966~detection of mechanical stimulus involved in sensory perception of pain,GO:0051209~release of sequestered calcium ion into cytosol,GO:0051967~negative regulation of synaptic transmission, glutamatergic,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0098664~G-protein coupled serotonin receptor signaling pathway,GO:2000300~regulation of synaptic vesicle exocytosis,	GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005901~caveola,GO:0030424~axon,GO:0030425~dendrite,GO:0031410~cytoplasmic vesicle,GO:0042734~presynaptic membrane,GO:0043025~neuronal cell body,GO:0043198~dendritic shaft,GO:0045211~postsynaptic membrane,GO:0070852~cell body fiber,GO:0098666~G-protein coupled serotonin receptor complex,GO:0098793~presynapse,GO:0098978~glutamatergic synapse,GO:0099055~integral component of postsynaptic membrane,GO:0099056~integral component of presynaptic membrane,	GO:0001587~Gq/11-coupled serotonin receptor activity,GO:0001618~virus receptor activity,GO:0004993~G-protein coupled serotonin receptor activity,GO:0005515~protein binding,GO:0030296~protein tyrosine kinase activator activity,GO:0030594~neurotransmitter receptor activity,GO:0042802~identical protein binding,GO:0044877~macromolecular complex binding,GO:0051378~serotonin binding,GO:0071886~1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR000455:5-Hydroxytryptamine 2A receptor,IPR002231:5-Hydroxytryptamine receptor family,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04020:Calcium signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04540:Gap junction,hsa04726:Serotonergic synapse,hsa04750:Inflammatory mediator regulation of TRP channels,	103780~Alcohol dependence, susceptibility to,164230~Obsessive-compulsive disorder, susceptibility to,181500~Schizophrenia, susceptibility to,606788~Anorexia nervosa, susceptibility to,608516~Major depressive disorder, response to citalopram therapy in,608516~Seasonal affective disorder, susceptibility to,		SM01381:SM01381,	KW-0085~Behavior,KW-0945~Host-virus interaction,	KW-0472~Membrane,KW-0770~Synapse,KW-0966~Cell projection,KW-0968~Cytoplasmic vesicle,KW-1003~Cell membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,KW-1183~Host cell receptor for virus entry,	KW-0325~Glycoprotein,KW-0597~Phosphoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:G-protein coupled receptors family 1 profile,MOTIF:DRY motif; important for ligand-induced conformation changes,MOTIF:NPxxY motif; important for ligand-induced conformation changes and signaling,MOTIF:PDZ-binding,MUTAGEN:C->S: No effect on interaction with PATJ. Acquires the binding properties of HTR2C; when associated with S-465.,MUTAGEN:G->V: Loss of interaction with PATJ.,MUTAGEN:L->A: Strongly increases dissociation of bound lysergic acid diethylamine, without affecting binding affinity. Reduces signaling via arrestins, but has no effect on signaling via the phosphatidylinositol-calcium second messenger system.,MUTAGEN:N->S: No effect on interaction with PATJ. Acquires the binding properties of HTR2C; when associated with S-470.,MUTAGEN:S->A: Increased ability of hallucinogens to desensitize the receptor.,MUTAGEN:S->D: Reduced receptor desensitization by nonhallucinogenic agonists.,MUTAGEN:V->A: Loss of interaction with PATJ, CASK, APBA1, DLG1 and DLG4.,REGION:Disordered,SITE:Hydrophobic barrier that decreases the speed of ligand binding and dissociation,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
HTR3A	5-hydroxytryptamine receptor 3A(HTR3A)	Homo sapiens			GO:0007165~signal transduction,GO:0007210~serotonin receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0034220~ion transmembrane transport,GO:0042391~regulation of membrane potential,GO:0050877~neurological system process,GO:0060079~excitatory postsynaptic potential,GO:0098662~inorganic cation transmembrane transport,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0032154~cleavage furrow,GO:0043005~neuron projection,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:1904602~serotonin-activated cation-selective channel complex,	GO:0004888~transmembrane signaling receptor activity,GO:0005216~ion channel activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0005515~protein binding,GO:0015276~ligand-gated ion channel activity,GO:0022848~acetylcholine-gated cation-selective channel activity,GO:0022850~serotonin-gated cation-selective channel activity,GO:0030594~neurotransmitter receptor activity,GO:0051378~serotonin binding,	IPR002394:Nicotinic acetylcholine receptor,IPR006029:Neurotransmitter-gated ion-channel transmembrane domain,IPR006201:Neurotransmitter-gated ion-channel,IPR006202:Neurotransmitter-gated ion-channel ligand-binding,IPR008132:5-hydroxytryptamine 3 receptor,IPR008133:5-hydroxytryptamine 3 receptor, A subunit,IPR018000:Neurotransmitter-gated ion-channel, conserved site,	hsa04726:Serotonergic synapse,hsa04742:Taste transduction,				KW-0406~Ion transport,KW-0813~Transport,	KW-0472~Membrane,KW-0628~Postsynaptic cell membrane,KW-0770~Synapse,KW-1003~Cell membrane,		KW-0732~Signal,KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0407~Ion channel,KW-0675~Receptor,KW-1071~Ligand-gated ion channel,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:Neurotransmitter-gated ion-channel ligand-binding,DOMAIN:Neurotransmitter-gated ion-channel transmembrane,MUTAGEN:R->A: Increased conductance. Massive increase of conductance; when associated with Q-432 and D-436.,MUTAGEN:R->D: Increased conductance. Massive increase of conductance; when associated with Q-432 and A-440.,MUTAGEN:R->Q: Little effect on conductance. Massive increase of conductance; when associated with D-436 and A-440.,MUTAGEN:W->S: Abolished ligand binding to the heteromeric receptor.,REGION:Disordered,REGION:HA-stretch,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,
HTR4	5-hydroxytryptamine receptor 4(HTR4)	Homo sapiens			GO:0007186~G-protein coupled receptor signaling pathway,GO:0007187~G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger,GO:0007198~adenylate cyclase-inhibiting serotonin receptor signaling pathway,GO:0007268~chemical synaptic transmission,GO:0030277~maintenance of gastrointestinal epithelium,GO:0032098~regulation of appetite,GO:0070254~mucus secretion,GO:0098664~G-protein coupled serotonin receptor signaling pathway,	GO:0005737~cytoplasm,GO:0005768~endosome,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016020~membrane,GO:0030425~dendrite,GO:0045202~synapse,	GO:0004993~G-protein coupled serotonin receptor activity,GO:0005515~protein binding,GO:0030594~neurotransmitter receptor activity,GO:0051378~serotonin binding,GO:0099589~serotonin receptor activity,	IPR000276:G protein-coupled receptor, rhodopsin-like,IPR001520:5-Hydroxytryptamine 4 receptor,IPR017452:GPCR, rhodopsin-like, 7TM,	hsa04020:Calcium signaling pathway,hsa04024:cAMP signaling pathway,hsa04080:Neuroactive ligand-receptor interaction,hsa04726:Serotonergic synapse,			SM01381:SM01381,		KW-0472~Membrane,KW-0967~Endosome,KW-1003~Cell membrane,		KW-0812~Transmembrane,KW-1133~Transmembrane helix,		KW-0297~G-protein coupled receptor,KW-0675~Receptor,KW-0807~Transducer,	KW-0325~Glycoprotein,KW-0449~Lipoprotein,KW-0564~Palmitate,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:G-protein coupled receptors family 1 profile,LIPID:S-palmitoyl cysteine,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,TRANSMEM:Helical; Name=1,TRANSMEM:Helical; Name=2,TRANSMEM:Helical; Name=3,TRANSMEM:Helical; Name=4,TRANSMEM:Helical; Name=5,TRANSMEM:Helical; Name=6,TRANSMEM:Helical; Name=7,
