gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO,cluster
ADAMTS20,cg19619405,0.429137,TSS200,cg21980043,0.268925,TSS200,2
ADCY4,cg12265829,0.317329,TSS200,cg05031016,0.216709,TSS1500,2
AIP,cg21052656,-0.362476,TSS1500,cg21052656,-0.215671,TSS1500,2
ALX1,cg25800765,0.384544,TSS1500,cg25800765,0.295556,TSS1500,1
ALX4,cg08149193,0.405723,TSS1500,cg16065899,0.28051,TSS1500,1
ATG16L1,cg23339656,-0.322485,TSS1500,cg23339656,-0.221358,TSS1500,2
ATP5G2,cg08995424,0.293562,TSS1500,cg13477804,0.221297,TSS1500,2
C1orf114,cg08047907,0.403691,TSS200,cg23818870,0.233423,TSS200,2
CA3,cg18674980,0.407801,TSS1500,cg07560510,0.262316,TSS1500,2
CCDC8,cg03576469,0.326066,TSS200,cg03576469,0.224894,TSS200,2
CDO1,cg11036833,0.383028,TSS200,cg21377673,0.247824,TSS1500,2
CFTR,cg17204129,0.368248,TSS1500,cg17204129,0.244257,TSS1500,2
CMTM2,cg08032924,0.404335,TSS1500,cg08032924,0.283936,TSS1500,2
DBC1,cg03625109,0.304307,TSS1500,cg03625109,0.252499,TSS1500,2
DEGS1,cg12279138,-0.29354,TSS1500,cg23213217,-0.237917,TSS1500,2
DGKI,cg06277657,0.320952,TSS1500,cg06277657,0.241219,TSS1500,2
DNASE2,cg15503081,-0.337019,TSS1500,cg15503081,-0.227324,TSS1500,2
DOC2A,cg03890691,0.315236,TSS1500,cg03890691,0.238541,TSS1500,2
DRD5,cg23847712,0.350885,TSS200,cg23847712,0.215878,TSS200,3
EMID2,cg23424003,0.332589,TSS200,cg27528510,0.271503,TSS200,2
EOMES,cg15540820,0.414821,TSS1500,cg15540820,0.377772,TSS1500,1
ESRRG,cg21784383,0.380634,TSS200,cg25755575,0.252804,TSS1500,1
EXOC1,cg18463607,-0.320539,TSS1500,cg18463607,-0.224821,TSS1500,2
FOXB2,cg12626956,0.366964,TSS200,cg13369611,0.243259,TSS200,1
FOXD2,cg22438763,0.427332,TSS1500,cg09269866,0.255169,TSS1500,1
FRZB,cg04037038,0.343875,TSS1500,cg04037038,0.221963,TSS1500,2
GATAD2B,cg08202226,-0.414724,TSS1500,cg08202226,-0.299916,TSS1500,2
GDNF,cg04209913,0.42969,TSS1500,cg15368455,0.228829,TSS1500,2
GFRA2,cg03330485,0.298793,TSS1500,cg03330485,0.210921,TSS1500,3
GHITM,cg25783892,-0.353794,TSS1500,cg25783892,-0.214261,TSS1500,2
GHSR,cg17152757,0.318624,TSS200,cg22070855,0.239656,TSS1500,3
GNG4,cg22941646,0.409292,TSS1500,cg22941646,0.31866,TSS1500,2
GRHL3,cg11709405,-0.320097,TSS200,cg11709405,-0.2243,TSS200,1
GRIK3,cg06165395,0.314659,TSS1500,cg06165395,0.256536,TSS1500,3
HLF,cg04219321,0.337455,TSS1500,cg15833843,0.247268,TSS1500,1
HMGCL,cg09473613,-0.367152,TSS1500,cg09473613,-0.27192,TSS1500,2
