gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO,cluster
ACTBL2,cg20772593,-0.40309,TSS200,cg20772593,-0.409128,TSS200,4
ADAMTS16,cg15048991,0.425632,TSS1500,cg16508480,0.429043,TSS1500,2
B3GALT1,cg00282195,-0.415014,TSS1500,cg00282195,-0.362844,TSS1500,2
C10orf90,cg09621603,-0.436953,TSS200,cg09621603,-0.386669,TSS200,2
C1D,cg03138124,-0.397899,TSS1500,cg03138124,-0.409993,TSS1500,1
C1QL2,cg16849609,0.435895,TSS200,cg16849609,0.355777,TSS200,4
C6orf186,cg20737185,0.650096,TSS200,cg20737185,0.479965,TSS200,2
C8orf85,cg22869944,-0.451615,TSS1500,cg22869944,-0.421921,TSS1500,4
CCL7,cg01520122,-0.415848,TSS1500,cg01520122,-0.390549,TSS1500,4
CD40,cg19785066,0.398791,TSS1500,cg06571407,0.383365,TSS200,4
CHL1,cg01295518,0.511482,TSS1500,cg09861201,0.386218,TSS200,4
CLDN17,cg24936695,-0.421716,TSS200,cg17628023,-0.382759,TSS1500,4
CLRN1,cg24721964,-0.437493,TSS1500,cg16118414,-0.392633,TSS200,4
CLSTN2,cg02315940,0.40532,TSS200,cg11993539,0.376227,TSS200,4
CNTNAP2,cg23708361,0.469378,TSS200,cg23708361,0.410246,TSS200,4
COL23A1,cg07765621,0.432213,TSS1500,cg10730712,0.385611,TSS1500,2
COL4A1,cg27546237,0.588402,TSS1500,cg01956420,0.409691,TSS200,2
DOK6,cg27347269,0.592998,TSS1500,cg12799689,0.453898,TSS1500,4
DRD4,cg00556112,0.503741,TSS200,cg12928379,0.39862,TSS200,4
EYA4,cg20286200,0.608012,TSS1500,cg20787173,0.435175,TSS200,4
FAM19A4,cg09868336,0.524003,TSS200,cg04347354,0.355964,TSS1500,4
FAM5C,cg23010538,0.436304,TSS1500,cg23010538,0.360659,TSS1500,4
FIGN,cg04457196,0.560232,TSS1500,cg03878133,0.438725,TSS1500,4
FLG,cg10500702,-0.407509,TSS1500,cg10500702,-0.360554,TSS1500,2
FOXI2,cg16642284,0.544823,TSS200,cg08829841,0.411168,TSS200,1
GAP43,cg05773207,-0.405604,TSS1500,cg23385162,-0.430267,TSS1500,4
GATA2,cg19638477,0.526441,TSS1500,cg19638477,0.372913,TSS1500,1
GFRAL,cg11823729,-0.420912,TSS1500,cg20650484,-0.378489,TSS1500,4
GPR26,cg16783279,0.456812,TSS1500,cg04549162,0.386357,TSS200,4
GSC2,cg23774356,0.432463,TSS200,cg06695663,0.378378,TSS200,1
HMGCLL1,cg07369569,-0.427388,TSS1500,cg07369569,-0.367219,TSS1500,2
INA,cg24680586,0.422924,TSS200,cg23642747,0.39126,TSS1500,4
IRX4,cg07882671,0.490231,TSS200,cg24876960,0.434059,TSS1500,1
ITGA8,cg08361126,0.457527,TSS1500,cg08361126,0.366983,TSS1500,2
KCNA1,cg20392607,0.550949,TSS1500,cg04891086,0.366048,TSS1500,4
KIFC3,cg27026192,0.426938,TSS1500,cg27026192,0.382537,TSS1500,4
