ID,gene,dbeta,feature
cg21968765,ABI3BP,0.1348403308941451,TSS200
cg00074348,APLNR,-0.1445764717295311,TSS1500
cg02964724,ASCL2,0.1817494473225722,TSS200
cg07157107,CHRNA6,-0.2370365133929629,TSS200
cg19223467,CLEC9A,-0.1200448235919642,TSS200
cg02156776,COL9A1,-0.2115985686348877,TSS1500
cg21290814,CRTC1,-0.1481337641303865,TSS1500
cg02325250,CSF2,-0.1053240943256726,TSS200
cg01136458,CSMD1,-0.1772455676826596,TSS1500
cg00213123,CYP1A1,0.1929656641128664,TSS1500
cg27648075,DSC3,0.1214380437656657,TSS200
cg13379236,EGF,-0.1338511492212654,TSS1500
cg17314888,ELN,0.1521592821727811,TSS200
cg01519765,ETV5,0.1378650743847676,TSS1500
cg06668555,FAM135B,0.1663343969815751,TSS200
cg02093112,FBXO39,0.184870425685456,TSS200
cg11741201,FJX1,-0.1043394465309904,TSS1500
cg11210703,GBA3,-0.2021985905870224,TSS1500
cg19772011,GLP1R,-0.1740477217765383,TSS1500
cg00727675,HOXA3,-0.1462210523969999,TSS1500
cg15059851,IVL,-0.1884808596171022,TSS1500
cg11775521,KCNE3,0.2697099263132774,TSS200
cg05929019,LAMC2,-0.11286499042704,TSS200
cg24296478,LCOR,-0.1565838561654878,TSS1500
cg11201447,MIR1204,-0.2821341595314858,TSS200
cg04927004,MIR124-3,0.1751428911279297,TSS1500
cg08200293,MIR210,0.1250691614197185,TSS1500
cg16570507,MIR346,-0.1694117948681998,TSS200
cg22461018,MORF4,-0.172745211353447,TSS1500
cg22500132,MUC1,-0.2797008117386677,TSS200
cg22571038,MYCBPAP,0.1100144122569191,TSS1500
cg03407567,MYL6B,-0.1535706669554427,TSS1500
cg07552803,NEFM,0.2309775215763518,TSS1500
cg22265644,NKX2-2,0.1074232500848398,TSS200
cg19864758,PCSK2,0.1625510399869106,TSS1500
cg20248866,PCYT2,0.1608959553473991,TSS1500
cg20387815,POMC,0.1682485891850489,TSS200
cg22746058,PTF1A,0.2120945681762727,TSS1500
cg05506480,RAB6B,-0.1780283863302605,TSS1500
cg18150280,RGS2,0.115675961870815,TSS1500
cg26106778,RING1,0.1993884350750715,TSS1500
cg09016242,SALL1,0.2201007870037383,TSS1500
cg05884032,SALL3,0.2033836700819776,TSS200
cg13545212,SLC13A5,0.187516770663985,TSS1500
cg04433322,SLC4A1,-0.1966796510889319,TSS1500
cg22537474,SNAP25,0.1617244448945993,TSS1500
cg02547394,SOX1,0.239882195587728,TSS200
cg16201674,SOX21,0.202932899545519,TSS200
cg12610471,SPAG6,0.2987802670830086,TSS200
cg12670347,TBX5,0.1595575724935744,TSS1500
cg06447795,TGM2,-0.1850712162825137,TSS1500
cg00736523,TMEM215,0.1580654463305161,TSS1500
cg14153654,TNFRSF9,-0.1944985364282945,TSS200
cg24073122,TP73,0.2197488277291744,TSS1500
cg13951797,TRAF7,-0.2475856124053375,TSS1500
cg08000065,UNC5D,0.2000017298895589,TSS200
cg09676684,VWCE,0.1127590953367856,TSS200
