ID,gene,dbeta,feature,cluster
cg04508114,ABLIM1,0.342903,TSS200,3
cg24267699,ABO,0.341948,TSS1500,3
cg10266490,ACOT11,0.409651,TSS200,3
cg12193731,ACVRL1,0.332164,TSS1500,3
cg10327428,ADAM5P,0.3659,TSS200,3
cg26573704,ADAMTS12,0.407496,TSS200,3
cg19619405,ADAMTS20,0.454846,TSS200,3
cg16714091,ADAMTSL1,0.320812,TSS1500,3
cg23179456,ADCY4,0.428719,TSS200,2
cg09651145,AFAP1L1,0.415544,TSS1500,3
cg16204509,ALDH1L2,0.358972,TSS1500,3
cg10227358,ALOX15,0.357778,TSS200,3
cg11052143,ALS2CR11,0.387534,TSS200,3
cg08076018,ANGPTL2,0.482661,TSS200,3
cg06825512,APCDD1,0.346613,TSS1500,3
cg02693127,ARHGAP10,0.342668,TSS1500,2
cg11772171,ASCL2,0.345071,TSS1500,1
cg12024292,ASTN2,0.340812,TSS1500,3
cg04418091,ATP5G2,0.410361,TSS1500,3
cg18868483,B3GAT2,0.367271,TSS1500,3
cg11823511,BARHL2,0.49122,TSS1500,1
cg21048162,BATF,-0.432478,TSS1500,1
cg11718030,BDNF,0.408406,TSS1500,3
cg26492446,BHLHE23,0.351474,TSS200,1
cg18759209,BMP7,0.401452,TSS1500,3
cg18952647,BNC1,0.386745,TSS1500,1
cg10616411,C10orf82,-0.333738,TSS1500,1
cg26459819,C11orf93,0.387695,TSS1500,3
cg10082647,C12orf23,0.346412,TSS1500,3
cg09695735,C17orf64,0.3892,TSS1500,3
cg12374721,C17orf93,0.41001,TSS1500,1
cg08047907,C1orf114,0.58616,TSS200,3
cg03763518,C1orf54,0.323975,TSS200,3
cg21838979,C2orf40,0.379991,TSS200,3
cg11208222,C5orf49,-0.330948,TSS1500,3
cg21097036,C6orf174,0.368696,TSS200,3
cg23348723,C7orf16,-0.362691,TSS1500,2
cg18674980,CA3,0.451532,TSS1500,3
cg05863502,CACNA1B,0.402394,TSS1500,2
cg02313130,CAPN8,-0.39032,TSS1500,3
cg13480357,CCDC108,0.330654,TSS200,3
cg03685774,CCDC19,-0.362058,TSS1500,3
cg03576469,CCDC8,0.511988,TSS200,3
cg21821833,CCK,0.325665,TSS200,3
cg07145284,CD248,0.346001,TSS200,3
cg22232207,CD40,0.476861,TSS200,3
cg03761113,CD5L,-0.320723,TSS200,3
cg22222281,CD9,0.351432,TSS1500,3
cg15323528,CDH23,0.377162,TSS1500,3
cg00044665,CDH5,0.415286,TSS200,3
cg07469637,CDK6,0.409612,TSS1500,3
cg02792792,CDO1,0.386359,TSS200,3
cg02055963,CDX2,0.324246,TSS1500,1
cg21461649,CFTR,0.437943,TSS200,3
cg20539142,CHRNA6,-0.333339,TSS200,2
cg13879776,CLDN11,0.33533,TSS1500,3
cg07285673,CLIP4,0.355332,TSS1500,3
cg08523865,CNTNAP5,0.378053,TSS1500,3
cg03520644,COL11A1,0.368065,TSS1500,3
cg25459558,COL11A2,0.374683,TSS1500,3
cg26996818,COL23A1,0.335662,TSS1500,3
cg24335895,COX7A1,0.449453,TSS200,3
cg24319381,CPEB1,0.361291,TSS200,3
cg11750883,CRCT1,-0.323236,TSS200,1
cg08260891,CTSA,0.43491,TSS1500,3
cg02467735,CYP11B2,-0.322726,TSS1500,3
cg11256607,DAB1,0.336249,TSS200,3
cg10808936,DARC,-0.332673,TSS1500,2
cg03625109,DBC1,0.381109,TSS1500,3
cg17983217,DDAH2,0.352868,TSS200,3
cg25071651,DDIT4L,0.405379,TSS1500,2
cg06325209,DDR2,0.38317,TSS200,3
cg09968709,DEFB115,-0.348313,TSS200,3
cg23631538,DENND2D,-0.326212,TSS1500,3
cg02919712,DEPDC6,-0.329538,TSS1500,2
cg12618806,DLGAP2,-0.406275,TSS200,2
cg14091631,DNAH14,-0.339552,TSS1500,3
cg21642988,DNAJA4,-0.321991,TSS200,3
cg17154724,DNM3,0.5053,TSS1500,3
cg18420599,DTNA,0.354932,TSS200,2
cg16126280,EBF1,0.364717,TSS1500,1
cg01596834,ECE2,0.333553,TSS200,2
cg05385513,EFEMP1,0.372014,TSS200,3
cg15182643,EGFLAM,0.386592,TSS1500,3
cg04452959,ENPP2,0.435505,TSS200,3
cg15540820,EOMES,0.371389,TSS1500,1
cg22027433,ERN1,0.331277,TSS1500,3
cg21608605,ESR1,-0.332805,TSS1500,3
cg14753355,F2RL3,0.347715,TSS200,2
cg08151731,FBN1,0.325412,TSS1500,3
cg14696870,FCER1A,-0.402546,TSS1500,2
cg09293816,FCGRT,0.372271,TSS200,3
cg26405020,FES,0.36873,TSS1500,3
cg06169131,FGF8,0.386841,TSS1500,3
cg19897940,FLI1,0.395183,TSS200,1
cg01537995,FLRT2,0.42257,TSS200,3
cg26517663,FOXB1,0.341217,TSS1500,1
cg09360770,FOXC2,0.346643,TSS1500,1
cg04037038,FRZB,0.339622,TSS1500,3
cg27420123,FSHB,-0.326176,TSS1500,3
cg09994356,GDAP1L1,0.330735,TSS200,2
cg03309176,GEFT,0.36243,TSS1500,2
cg04851268,GHSR,0.362785,TSS1500,2
cg16729415,GJD2,0.358457,TSS1500,2
cg10836809,GLIS3,0.343072,TSS200,1
cg09649610,GNG4,0.454769,TSS1500,2
cg11308643,GRIA4,0.321987,TSS200,2
cg25390440,GYPC,0.42499,TSS1500,3
cg24628744,H2AFY,0.370583,TSS1500,3
cg17508991,HCK,0.422,TSS1500,3
cg20157525,HES3,0.321871,TSS200,1
cg15741433,HIST1H1A,0.358785,TSS200,3
cg12260798,HIST1H4F,0.372537,TSS200,3
