ID,gene_x,J,J cut-point,J sensitivity,J specificity,J F1,CZ,CZ cut-point,CZ sensitivity,CZ specificity,CZ F1,ER,ER cut-point,ER sensitivity,ER specificity,ER F1,UI,UI cut-point,UI sensitivity,UI specificity,UI F1,AUC,t_dbeta_avg,logFC,AveExpr,t,P.Value,adj.P.Val,B,Normal_AVG,Tumor_AVG,deltaBeta,CHR,MAPINFO,Strand,Type,gene_y,feature,cgi,feat.cgi,UCSC_CpG_Islands_Name,DHS,Enhancer,Phantom,Probe_SNPs,Probe_SNPs_10
cg05361373,PYCARD,0.262429167,0.01,0.733668342,0.957446809,0.830751723,0.393403186,0.01,0.733668342,0.957446809,0.830751723,0.53109575,0.01,0.733668342,0.957446809,0.830751723,0.904041484,0.03,0.733668342,0.957446809,0.830751723,0.108949,0.032291139,0.032291139,0.073378892,2.989470326,0.00287157,0.004428231,-3.36487733,0.044498278,0.076789417,0.032291139,16,31213883,R,II,PYCARD,1stExon,island,1stExon-island,chr16:31213566-31214287,TRUE,,,,
cg04006042,FBXL3,0.109002459,0.01,0.809045226,0.85106383,0.829522767,0.271303325,0.01,0.809045226,0.85106383,0.829522767,0.685036412,0.01,0.809045226,0.85106383,0.829522767,0.968726612,0.02,0.809045226,0.85106383,0.829522767,0.057093981,0.004056835,0.004056835,0.057156114,3.105274994,0.001961268,0.003096478,-3.015804536,0.053527753,0.057584588,0.004056835,13,77601302,R,I,FBXL3,1stExon,island,1stExon-island,chr13:77600570-77601428,,,high-CpG:76499270-76499367,,
cg13515894,SLC1A5,0.170640436,0.01,0.869346734,0.829787234,0.849106469,0.323532556,0.01,0.869346734,0.829787234,0.849106469,0.618104397,0.01,0.869346734,0.829787234,0.849106469,0.937667059,0.03,0.869346734,0.829787234,0.849106469,0.070111194,0.005756662,0.005756662,0.046463986,3.221776761,0.001320296,0.002135695,-2.651538131,0.041315331,0.047071993,0.005756662,19,47290659,F,I,SLC1A5,1stExon,island,1stExon-island,chr19:47290585-47291983,,,,,
cg15602829,DNAJC14,0.074842297,0.01,0.786432161,0.936170213,0.85479316,0.215331979,0.01,0.786432161,0.936170213,0.85479316,0.758246273,0.01,0.786432161,0.936170213,0.85479316,0.977386935,0.03,0.786432161,0.936170213,0.85479316,0.032476211,0.003343006,0.003343006,0.033984058,3.025251152,0.002555744,0.003969879,-3.25840935,0.030994133,0.034337139,0.003343006,12,56223402,F,I,DNAJC14,1stExon,island,1stExon-island,chr12:56223263-56223598,,,high-CpG:54509558-54509702,,
cg02991063,PRDX3,0.141184647,0.01,0.796482412,0.893617021,0.842258422,0.234523682,0.01,0.796482412,0.893617021,0.842258422,0.742216774,0.01,0.796482412,0.893617021,0.842258422,0.989949749,0.05,0.796482412,0.893617021,0.842258422,0.021009302,0.004330589,0.004330589,0.022126057,3.107747821,0.00194511,0.003072605,-3.008209034,0.018252856,0.022583445,0.004330589,10,120938274,F,I,PRDX3,1stExon,island,1stExon-island,chr10:120938028-120938418,,,,rs34132718,
cg03578458,TLE3,0.210841441,0.01,0.695979899,0.957446809,0.806039639,0.352614135,0.01,0.695979899,0.957446809,0.806039639,0.582430978,0.01,0.695979899,0.957446809,0.806039639,0.909440821,0.03,0.695979899,0.957446809,0.806039639,0.092430236,0.010428494,0.010428494,0.05321701,5.53065477,4.20E-08,1.17E-07,7.220246331,0.043889952,0.054318446,0.010428494,15,70389891,R,II,TLE3,1stExon,island,1stExon-island,chr15:70387929-70393206,,,high-CpG:68176750-68177434,,
cg08001742,CFDP1,0.160964396,0.01,0.736180905,0.914893617,0.815865307,0.194857265,0.01,0.736180905,0.914893617,0.815865307,0.797618334,0.01,0.736180905,0.914893617,0.815865307,0.995776756,0.05,0.736180905,0.914893617,0.815865307,0.005880466,0.003301098,0.003301098,0.021887574,2.996163596,0.002809905,0.004338825,-3.345055487,0.018935132,0.022236229,0.003301098,16,75467215,F,I,CFDP1,1stExon,island,1stExon-island,chr16:75466850-75467527,,,,,rs76789014
cg11246695,PIAS3,0.081898856,0.01,0.876884422,0.893617021,0.885171654,0.136426815,0.01,0.876884422,0.893617021,0.885171654,0.856652668,0.01,0.876884422,0.893617021,0.885171654,0.995669839,0.03,0.876884422,0.893617021,0.885171654,0.005933925,0.002643819,0.002643819,0.018411156,3.170873635,0.001571872,0.002515036,-2.812310358,0.016046572,0.018690391,0.002643819,1,145576023,R,I,PIAS3,1stExon,island,1stExon-island,chr1:145575130-145576219,,,high-CpG:144287344-144287625,,
cg10710703,ZNF70,0.139687801,0.02,0.716080402,0.936170213,0.811466658,0.3049289,0.01,0.716080402,0.936170213,0.811466658,0.636394849,0.01,0.716080402,0.936170213,0.811466658,0.881107666,0.03,0.716080402,0.936170213,0.811466658,0.100315407,0.00958421,0.00958421,0.038105249,5.333039656,1.23E-07,3.26E-07,6.181884646,0.029533304,0.039117514,0.00958421,22,24093130,R,II,ZNF70,1stExon,island,1stExon-island,chr22:24093026-24093621,,,high-CpG:22422959-22423367,,
cg07098391,KDR,0.410509997,0.02,0.927135678,0.787234043,0.851476504,0.495830215,0.02,0.927135678,0.787234043,0.851476504,0.420544918,0.02,0.927135678,0.787234043,0.851476504,0.487544103,0.01,0.927135678,0.787234043,0.851476504,0.417673474,0.067334294,0.067334294,0.13251338,6.008588899,2.73E-09,8.60E-09,9.876608054,0.072290797,0.139625091,0.067334294,4,55991418,F,II,KDR,1stExon,island,1stExon-island,chr4:55991402-55992171,,TRUE,,rs56233104,
