gene,dbeta,feature,ID,cluster
ALOX12,0.1571750257703817,TSS200,cg03760483,4
APLNR,-0.1874335129340547,TSS1500,cg00074348,2
CD46,-0.2010984385480465,TSS1500,cg04290171,2
CDH5,0.2065678838132988,TSS200,cg00044665,2
CEACAM5,-0.2103405840193058,TSS1500,cg14666310,4
CHRNA6,-0.2421896406553417,TSS200,cg07157107,2
CKLF,0.1725901067274571,TSS1500,cg02295216,2
CLEC9A,-0.1523389324290177,TSS200,cg19223467,2
CMTM5,0.1720746507735138,TSS200,cg23631930,2
CRISP2,0.2002731331713274,TSS200,cg12440062,2
CRTC1,-0.1609425408277763,TSS1500,cg21290814,3
CSMD1,-0.1835245667046571,TSS1500,cg01136458,2
CX3CL1,0.198135817887161,TSS1500,cg05724197,2
CXCL17,-0.2382559014191272,TSS1500,cg03003745,2
CYP1A1,0.1950469339716388,TSS1500,cg00213123,4
DGKA,-0.1866693921356606,TSS1500,cg20051772,4
EGF,-0.1510255384681276,TSS1500,cg13379236,2
FOXP4,-0.2061858284308476,TSS1500,cg13816423,3
GJB5,0.1620409304590387,TSS200,cg07014349,2
GLP1R,-0.1740302103342552,TSS1500,cg19772011,2
GNA13,0.1748156354646504,TSS1500,cg17413194,2
HIPK3,0.1500014426601371,TSS1500,cg04225088,4
HMGB1,-0.2917053130403636,TSS1500,cg05818394,2
HOXA3,-0.1825668813223287,TSS1500,cg00727675,3
IL32,0.230341051009543,TSS1500,cg00239353,2
IVL,-0.208370500270918,TSS1500,cg15059851,4
KCNE3,0.2635759437848026,TSS200,cg11775521,2
KLK12,-0.1506197483016225,TSS1500,cg08375658,4
KRT75,-0.1705784699413682,TSS1500,cg07925549,2
LCOR,-0.1575857390182463,TSS1500,cg24296478,3
MIR1-1,-0.1808208587195798,TSS1500,cg23792592,1
MIR1180,0.1576475770998124,TSS200,cg19157647,1
MIR124-3,0.1778444400772161,TSS1500,cg04927004,1
MIR134,-0.2666299029471462,TSS1500,cg10734581,1
MIR141,-0.1574503494871162,TSS1500,cg24702147,1
MIR346,-0.1795251466754045,TSS200,cg16570507,1
MIR493,-0.163425925092316,TSS1500,cg02577745,1
MUC1,-0.2827710803440732,TSS200,cg22500132,3
NAT1,-0.1592013814606064,TSS200,cg21298408,4
NEFM,0.2272498533827501,TSS1500,cg07552803,2
PANX3,-0.169833010513583,TSS1500,cg08317412,2
PCYT2,0.1547874342697178,TSS1500,cg20248866,4
PDCD1LG2,0.1528460566518718,TSS200,cg07211259,2
PGC,-0.1529300610941193,TSS1500,cg12871376,4
PRSS1,-0.2067554541330134,TSS200,cg02329916,4
PTF1A,0.1899837383577875,TSS1500,cg22746058,3
RAB6B,-0.1950649724779772,TSS1500,cg05506480,2
RING1,0.1862639818698969,TSS1500,cg26106778,4
SALL3,0.1518573785209497,TSS200,cg05884032,3
SDR9C7,-0.1982195945412862,TSS1500,cg20596724,4
SFRP5,-0.1529468562242675,TSS1500,cg16536739,2
SLC4A1,-0.2116381831226315,TSS1500,cg04433322,2
SOX1,0.2280378900981488,TSS200,cg02547394,3
SPAG6,0.281362841361536,TSS200,cg12610471,2
SSTR5,-0.2088307146552692,TSS1500,cg06314202,2
TGM2,-0.1931147203985279,TSS1500,cg06447795,4
TNFRSF9,-0.1959032329229746,TSS200,cg14153654,2
TP73,0.209996293063376,TSS1500,cg24073122,3
XAF1,0.216849357384918,TSS1500,cg23571857,4
