ID,gene,dbeta,feature,cluster
cg10266490,ACOT11,0.319784,TSS200,3
cg14742937,ADAM5P,0.325618,TSS200,3
cg01345315,ADAMTS20,0.340388,TSS1500,3
cg02462195,ADAMTS5,0.308317,TSS1500,3
cg12265829,ADCY4,0.318314,TSS200,3
cg21052656,AIP,-0.359557,TSS1500,3
cg20959866,AJAP1,0.346682,TSS1500,3
cg12798157,AKR7L,0.30315,TSS200,3
cg25800765,ALX1,0.384757,TSS1500,1
cg06245037,ALX4,0.364042,TSS1500,1
cg17187764,APOBEC1,-0.351991,TSS200,3
cg25075794,AQP1,0.328376,TSS200,3
cg09015973,ARHGEF4,0.368815,TSS1500,3
cg23685969,ASCC1,-0.33178,TSS1500,1
cg23339656,ATG16L1,-0.323193,TSS1500,3
cg08995424,ATP5G2,0.296954,TSS1500,3
cg01699217,BHLHE23,0.298228,TSS200,1
cg13356896,BOLL,0.328383,TSS200,3
cg03161190,C10orf26,0.311173,TSS200,3
cg14933439,C16orf78,-0.327557,TSS200,1
cg12374721,C17orf93,0.508074,TSS1500,1
cg08047907,C1orf114,0.403113,TSS200,3
cg12769118,C1orf150,-0.367797,TSS200,3
cg00751332,CABLES1,-0.291619,TSS1500,3
cg05863502,CACNA1B,0.292938,TSS1500,3
cg20779964,CBLN4,0.35307,TSS200,3
cg12468774,CCDC36,0.307745,TSS200,3
cg03576469,CCDC8,0.333482,TSS200,3
cg10395685,CCDC81,0.415266,TSS200,3
cg18264219,CCL23,-0.311313,TSS1500,3
cg23817981,CCR4,0.292377,TSS200,3
cg27534912,CD1C,-0.315345,TSS1500,3
cg12606911,CD8A,0.432983,TSS1500,3
cg11036833,CDO1,0.390636,TSS200,3
cg01499197,CDX2,0.352616,TSS1500,1
cg24414363,CENPM,-0.313052,TSS200,3
cg17204129,CFTR,0.370998,TSS1500,3
cg26531231,CHRNA9,-0.343505,TSS1500,3
cg10182317,CLVS2,0.311028,TSS200,3
cg08032924,CMTM2,0.401696,TSS1500,3
cg08523865,CNTNAP5,0.311553,TSS1500,3
cg13553455,COL17A1,-0.293716,TSS1500,3
cg19867917,COLEC11,0.355959,TSS200,3
cg20170777,COX10,-0.330787,TSS1500,3
cg15163151,COX6C,-0.291895,TSS1500,3
cg21290814,CRTC1,-0.324476,TSS1500,3
cg11694519,CRYAB,0.349406,TSS1500,3
cg23405212,CRYGD,0.313682,TSS200,3
cg21320567,CSPP1,-0.300641,TSS1500,3
cg24168221,CST9,-0.302241,TSS1500,3
cg13215970,CXCL5,0.324573,TSS200,3
cg03625109,DBC1,0.301505,TSS1500,3
cg23752828,DCTN2,-0.307786,TSS1500,3
cg06372145,DEFB119,-0.310612,TSS1500,3
cg23213217,DEGS1,-0.295656,TSS1500,3
cg17611742,DENND1B,-0.310191,TSS1500,3
cg21587469,DGKA,-0.34023,TSS1500,3
cg06277657,DGKI,0.31108,TSS1500,3
cg01629435,DGUOK,-0.345036,TSS1500,3
cg00933411,DLC1,-0.325231,TSS1500,3
cg15503081,DNASE2,-0.328394,TSS1500,3
cg03890691,DOC2A,0.320555,TSS1500,3
cg00556112,DRD4,0.350517,TSS200,3
cg23847712,DRD5,0.352782,TSS200,3
cg00240178,EEF1A1,-0.290462,TSS1500,3
cg16905506,EFNA4,-0.301045,TSS1500,3
cg19766988,EIF3G,-0.307605,TSS1500,3
cg16986578,ELF3,-0.294891,TSS200,1
cg16324018,ELMOD3,-0.301104,TSS1500,3
cg23424003,EMID2,0.337283,TSS200,3
cg15540820,EOMES,0.414714,TSS1500,1
cg21784383,ESRRG,0.381739,TSS200,1
cg18463607,EXOC1,-0.331525,TSS1500,3
cg05754905,F11R,-0.369865,TSS1500,3
cg06947913,FAIM2,0.293688,TSS200,3
cg02543636,FAM188B,-0.29594,TSS1500,3
cg05033369,FCRLA,-0.343926,TSS1500,3
cg26517663,FOXB1,0.311879,TSS1500,1
cg12626956,FOXB2,0.356935,TSS200,1
cg22438763,FOXD2,0.435474,TSS1500,1
cg02523640,FOXI2,0.320737,TSS1500,1
cg04037038,FRZB,0.344421,TSS1500,3
cg26673195,G6PC,-0.30235,TSS200,3
cg13166213,GATA4,0.312046,TSS1500,3
cg08202226,GATAD2B,-0.413766,TSS1500,1
cg03330485,GFRA2,0.300685,TSS1500,3
cg25783892,GHITM,-0.345521,TSS1500,3
cg17152757,GHSR,0.319084,TSS200,3
cg22941646,GNG4,0.402795,TSS1500,3
cg11709405,GRHL3,-0.316733,TSS200,1
cg13080565,GRIK2,0.409168,TSS200,3
cg06165395,GRIK3,0.316115,TSS1500,3
cg15440688,GSC,0.35991,TSS1500,1
cg24467349,GSTM5,0.320955,TSS200,3
cg19743103,HES3,0.301877,TSS200,1
cg05159188,HIST1H4F,0.290715,TSS200,3
cg04219321,HLF,0.344194,TSS1500,1
cg09473613,HMGCL,-0.365065,TSS1500,3
cg15209808,HORMAD2,0.338509,TSS200,3
cg14013695,HOXA5,0.339604,TSS1500,1
cg05471296,HOXA7,0.384142,TSS200,1
cg22777724,HOXB2,0.401946,TSS200,1
cg21591742,HOXD10,0.432472,TSS1500,3
cg01405040,HOXD12,0.462046,TSS1500,1
cg07802350,HOXD13,0.327309,TSS1500,1
cg24704177,HOXD3,0.361968,TSS1500,1
cg07011913,HOXD4,0.402124,TSS1500,1
cg09238180,HOXD8,0.430887,TSS1500,1
cg06457736,HRH1,-0.375254,TSS200,3
cg00983904,IFFO1,0.405551,TSS200,3
cg10416668,IL21R,-0.321215,TSS1500,3
cg21342392,IMMP2L,-0.403334,TSS1500,3
cg11200222,KCNK2,0.357362,TSS1500,3
cg17565113,KRT5,-0.300227,TSS1500,3
cg25388528,KRTAP20-1,-0.325345,TSS1500,3
cg10305797,KRTDAP,-0.290152,TSS1500,3
